Minute	Commentary
51	Max Kilman relieves the pressure with a clearance
51	Some neat football here as Wilfried Zaha from Crystal Palace plays a 1-2 with Christian Benteke.
50	The game is restarted.
50	Play has been stopped while the referee talks to the players.
50	Ball possession: Crystal Palace: 63%, Wolverhampton Wanderers: 37%.
50	Max Kilman is penalised for pushing Wilfried Zaha.
50	Crystal Palace take a throw-in at the left side of the pitch in the opponent's half of the field
50	Ruben Neves is penalised for pushing Cheikhou Kouyate.
49	Crystal Palace take a throw-in at the left side of the pitch in the opponent's half of the field
49	Vicente Guaita relieves the pressure with a clearance
49	Joao Moutinho from Wolverhampton Wanderers swings in the corner from the left.
48	Raul Jimenez from Wolverhampton Wanderers fails to connect properly on the volley and sends the ball wide of target
48	Rayan Ait Nouri from Wolverhampton Wanderers swings in the corner from the left.
48	James McArthur clears the danger but is forced to give away a corner...
48	Rayan Ait Nouri from Wolverhampton Wanderers swings in the corner from the left.
47	Rayan Ait Nouri from Wolverhampton Wanderers passes the ball in the box, but it's intercepted by an opponent player.
47	Conor Gallagher is penalised for pushing Ruben Neves.
46	Crystal Palace is in control of the ball.
46	Crystal Palace take a throw-in at the right side of the pitch in the opponent's half of the field
46	Wolverhampton Wanderers is in control of the ball.
46	The second half is underway.
49	The two sides have been very evenly matched in the 1st half
49	It's over! The referee blows for half time
49	Ball possession: Crystal Palace: 64%, Wolverhampton Wanderers: 36%.
48	The referee signals a free kick as Conor Gallagher from Crystal Palace trips Rayan Ait Nouri
48	Christian Benteke relieves the pressure with a clearance
48	Joao Moutinho from Wolverhampton Wanderers swings in the corner from the left.
48	The game is restarted.
47	Play has been stopped because there is a player lying on the pitch.
47	Joel Ward clears the danger but is forced to give away a corner...
47	Hee-Chan Hwang of Wolverhampton Wanderers passes the ball to a team mate.
46	The ref blows his whistle. James McArthur charged Raul Jimenez from behind and it's a free-kick
46	Conor Coady is penalised for pushing Christian Benteke.
46	The fourth official shows there are 2 minute(s) of time to be added.
45	Crystal Palace is in control of the ball.
45	Ball possession: Crystal Palace: 62%, Wolverhampton Wanderers: 38%.
45	Crystal Palace is in control of the ball.
44	Crystal Palace take a throw-in at the left side of the pitch in their own half of the field
44	Wolverhampton Wanderers is in control of the ball.
43	Cheikhou Kouyate hand-balls.
43	Crystal Palace is trying to create something here.
42	Odsonne Edouard from Crystal Palace had a bad first touch and fails to take advantage of the situation.
42	Conor Gallagher puts in a cross...
42	Jose Sa relieves the pressure with a clearance
42	Conor Gallagher from Crystal Palace swings in the corner from the left.
41	Conor Coady clears the danger but is forced to give away a corner...
41	Christian Benteke of Crystal Palace passes the ball to a team mate.
41	Conor Gallagher from Crystal Palace passes the ball in the box, but Jose Sa comes out to smother the ball.
41	Crystal Palace is trying to create something here.
41	Crystal Palace take a throw-in at the left side of the pitch in their own half of the field
40	Ball possession: Crystal Palace: 61%, Wolverhampton Wanderers: 39%.
40	Tyrick Mitchell is penalised for pushing Nelson Semedo.
40	Crystal Palace is trying to create something here.
39	Crystal Palace is in control of the ball.
39	Raul Jimenez sends a header towards goal, but the keeper is equal to it.
38	Joao Moutinho swings in a cross from the free kick.
37	Yellow card for Marc Guehi.
37	Reckless challenge there. Marc Guehi commits a rough foul on Nelson Semedo
37	Conor Gallagher from Crystal Palace concedes a foul on Ruben Neves but the referee decides against stopping the play and waves play on!
37	Crystal Palace is in control of the ball.
37	Crystal Palace take a throw-in at the left side of the pitch in their own half of the field
36	Wolverhampton Wanderers take a throw-in at the left side of the pitch in the opponent's half of the field
36	Wolverhampton Wanderers take a throw-in at the left side of the pitch in the opponent's half of the field
35	Ball possession: Crystal Palace: 60%, Wolverhampton Wanderers: 40%.
35	Wolverhampton Wanderers plays a short goal kick.
35	A chance presents itself to Odsonne Edouard from Crystal Palace but his header goes wide
35	Conor Gallagher swings in a cross from the free kick.
34	The referee signals a free kick as Ruben Neves from Wolverhampton Wanderers trips James McArthur
34	Crystal Palace is in control of the ball.
33	Crystal Palace take a throw-in at the right side of the pitch in the opponent's half of the field
33	Crystal Palace is trying to create something here.
32	Raul Jimenez is penalised for pushing Marc Guehi.
32	Christian Benteke relieves the pressure with a clearance
32	Rayan Ait Nouri from Wolverhampton Wanderers swings in the corner from the left.
31	Ruben Neves from Wolverhampton Wanderers directs the ball behind the defence, but it's intercepted by an opponent player.
31	Wolverhampton Wanderers is trying to create something here.
31	Odsonne Edouard from Crystal Palace directs the ball behind the defence, but the keeper reads the play well and comes to claim it
30	Ball possession: Crystal Palace: 61%, Wolverhampton Wanderers: 39%.
30	Crystal Palace take a throw-in at the right side of the pitch in their own half of the field
29	Crystal Palace take a throw-in at the left side of the pitch in the opponent's half of the field
29	Conor Gallagher from Crystal Palace directs the ball behind the defence, but it's intercepted by an opponent player.
29	Crystal Palace is in control of the ball.
28	Wolverhampton Wanderers take a throw-in at the left side of the pitch in their own half of the field
28	Crystal Palace is in control of the ball.
28	Crystal Palace take a throw-in at the right side of the pitch in their own half of the field
27	Wolverhampton Wanderers is in control of the ball.
27	Wolverhampton Wanderers is trying to create something here.
26	Both sides are struggling to open up the opponent's defense
26	Wolverhampton Wanderers take a throw-in at the right side of the pitch in their own half of the field
26	Crystal Palace take a throw-in at the left side of the pitch in their own half of the field
26	The game is restarted.
25	Ball possession: Crystal Palace: 64%, Wolverhampton Wanderers: 36%.
25	Play has been stopped because there is a player lying on the pitch.
25	Wolverhampton Wanderers is trying to create something here.
24	Crystal Palace take a throw-in at the right side of the pitch in their own half of the field
24	Trincao from Wolverhampton Wanderers takes the ball forward trying to make something happen...
23	The game is restarted.
23	Play has been stopped because there is a player lying on the pitch.
23	The referee signals a free kick as Joao Moutinho from Wolverhampton Wanderers trips Wilfried Zaha
22	Hee-Chan Hwang is penalised for pushing Wilfried Zaha.
22	Crystal Palace is in control of the ball.
22	James McArthur from Crystal Palace passes the ball in the box, but Jose Sa comes out to smother the ball.
22	Odsonne Edouard of Crystal Palace passes the ball to a team mate.
21	Crystal Palace is trying to create something here.
21	James McArthur from Crystal Palace goes a bit too far there as the pulls down Nelson Semedo
21	Wolverhampton Wanderers plays a short goal kick.
21	Cheikhou Kouyate from Crystal Palace tries to head the ball to a team mate, but it eventually comes to nothing.
20	Romain Saiss relieves the pressure with a clearance
20	Joel Ward puts in a cross...
20	Ball possession: Crystal Palace: 71%, Wolverhampton Wanderers: 29%.
19	Crystal Palace is in control of the ball.
19	Ruben Neves is penalised for pushing James McArthur.
18	Wolverhampton Wanderers is trying to create something here.
18	A shot by Trincao is blocked.
18	Marc Guehi relieves the pressure with a clearance
18	Rayan Ait Nouri puts in a cross...
17	Wolverhampton Wanderers take a throw-in at the right side of the pitch in their own half of the field
17	The game is restarted.
16	Jose Sa is down injured and receives medical attention on the field.
16	Ball possession: Crystal Palace: 72%, Wolverhampton Wanderers: 28%.
15	Play has been stopped because there is a player lying on the pitch.
15	Dangerous challenge by Conor Gallagher from Crystal Palace. Jose Sa on the receiving end of that.
15	Good effort by Odsonne Edouard as he directs a shot on target, but the keeper saves it
15	Wilfried Zaha of Crystal Palace passes the ball to a team mate.
15	Crystal Palace is in control of the ball.
15	Crystal Palace plays a short goal kick.
14	Nelson Semedo from Wolverhampton Wanderers takes the ball forward trying to make something happen...
14	The referee signals a free kick as James McArthur from Crystal Palace trips Trincao
14	Crystal Palace is trying to create something here.
13	Crystal Palace is in control of the ball.
13	Crystal Palace take a throw-in at the left side of the pitch in their own half of the field
13	Crystal Palace is in control of the ball.
12	Wolverhampton Wanderers take a throw-in at the right side of the pitch in their own half of the field
11	The match resumes with a drop ball.
11	Play has been stopped because there is a player lying on the pitch.
11	Ball possession: Crystal Palace: 81%, Wolverhampton Wanderers: 19%.
11	Goal kick for Wolverhampton Wanderers.
10	James McArthur from Crystal Palace crosses the ball but it is nowhere near the intended target.
9	After a tactical foul, Joao Moutinho sees no other way than stopping the counter and receives a yellow card.
9	The referee signals a free kick as Joao Moutinho from Wolverhampton Wanderers trips Odsonne Edouard
9	Odsonne Edouard from Crystal Palace takes the ball forward trying to make something happen...
9	Crystal Palace take a throw-in at the left side of the pitch in their own half of the field
8	Raul Jimenez from Wolverhampton Wanderers directs the ball behind the defence, but it's intercepted by an opponent player.
8	Nelson Semedo of Wolverhampton Wanderers passes the ball to a team mate.
8	Wolverhampton Wanderers is in control of the ball.
8	Wolverhampton Wanderers take a throw-in at the right side of the pitch in the opponent's half of the field
8	Wolverhampton Wanderers take a throw-in at the right side of the pitch in the opponent's half of the field
7	Wolverhampton Wanderers plays a short goal kick.
7	A chance presents itself to Christian Benteke from Crystal Palace but his header goes wide
7	Conor Gallagher from Crystal Palace swings in the corner from the right.
6	Joel Ward from Crystal Palace tries to pick out a team-mate in the area but his cross is blocked by an opponent.
6	Crystal Palace take a throw-in at the right side of the pitch in the opponent's half of the field
5	Ball possession: Crystal Palace: 50%, Wolverhampton Wanderers: 50%.
5	Wolverhampton Wanderers take a throw-in at the right side of the pitch in the opponent's half of the field
5	Wolverhampton Wanderers take a throw-in at the right side of the pitch in the opponent's half of the field
5	Crystal Palace is in control of the ball.
4	Crystal Palace take a throw-in at the right side of the pitch in their own half of the field
4	Wolverhampton Wanderers take a throw-in at the left side of the pitch in the opponent's half of the field
4	Wolverhampton Wanderers is trying to create something here.
4	Goal kick for Wolverhampton Wanderers.
3	Crystal Palace take a throw-in at the left side of the pitch in the opponent's half of the field
3	Crystal Palace is in control of the ball.
2	Wolverhampton Wanderers is in control of the ball.
2	Crystal Palace is in control of the ball.
1	Crystal Palace is trying to create something here.
1	Crystal Palace is in control of the ball.
1	The pitch is in good condition today allowing for more technical play
1	Cloudy conditions overhead at the moment.
1	Crystal Palace kick-off, and the game is underway.The referee starts the match.Before we get underway, the players and crowd observe a minute's silence.Welcome to Selhurst Park, the match will start in about 5 minutes.Less commentary
95	Manchester City with a deserved victory after a fine display
95	That's it! The referee blows the final whistle
95	Today's attendance is 73086.
95	Ball possession: Manchester United: 32%, Manchester City: 68%.
95	Joao Cancelo from Manchester City is a contender for Man of the Match after a great performance today
95	Cristiano Ronaldo from Manchester United is ruled offside.
95	Scott McTominay from Manchester United heads the ball to a team mate.
95	Alex Telles from Manchester United swings in the corner from the left.
95	John Stones clears the danger but is forced to give away a corner...
95	Bruno Fernandes puts in a cross...
94	Harry Maguire from Manchester United is alert and heads the ball to his keeper.
94	Manchester City with a potentially dangerous attack.
94	Manchester United is in control of the ball.
93	Manchester City take a throw-in at the left side of the pitch in the opponent's half of the field
92	Goal kick for Manchester United.
91	Kevin De Bruyne comes back onto the field.
91	Kevin De Bruyne is injured and is taken off the field to receive medical treatment.
91	The fourth official shows there are 4 minute(s) of time to be added.
90	The referee shows Cristiano Ronaldo the yellow card for unsportsmanlike conduct.
90	Reckless challenge there. Bruno Fernandes commits a rough foul on Kevin De Bruyne
90	Joao Cancelo from Manchester City directs a ball squarely in the box, but it's intercepted by an opponent player.
90	Bernardo Silva of Manchester City passes the ball to a team mate.
90	Ball possession: Manchester United: 32%, Manchester City: 68%.
89	The referee signals a free kick as Donny van de Beek from Manchester United trips Phil Foden
89	Kevin De Bruyne from Manchester City takes a short corner kick from the right.
88	Alex Telles clears the danger but is forced to give away a corner...
88	Manchester City with a potentially dangerous attack.
88	Manchester City is in control of the ball.
87	Goal kick for Manchester United.
86	John Stones from Manchester City sends a shot inches wide of the post. Close!
86	Rodri from Manchester City heads the ball to a team mate.
86	Phil Foden from Manchester City swings in the corner from the left.
86	Scott McTominay clears the danger but is forced to give away a corner...
86	Joao Cancelo puts in a cross...
85	Kevin De Bruyne from Manchester City tries to pick out a team-mate in the area but his cross is blocked by an opponent.
85	Manchester City take a throw-in at the right side of the pitch in the opponent's half of the field
85	Ball possession: Manchester United: 34%, Manchester City: 66%.
84	Manchester City is trying to create something here.
83	Manchester City is trying to create something here.
82	Goal kick for Manchester United.
81	POST! So nearly a goal by Phil Foden but his finish hits the post!
81	Could be a good chance here as Kevin De Bruyne from Manchester City cuts the opponents defense open with a through ball...
81	Dangerous challenge by Donny van de Beek from Manchester United. Bernardo Silva on the receiving end of that.
80	Victor Lindelof is penalised for pushing Kevin De Bruyne.
80	Manchester City take a throw-in at the right side of the pitch in their own half of the field
80	Fred is leaving the field to be replaced by Donny van de Beek in a tactical substitution.
80	Ball possession: Manchester United: 32%, Manchester City: 68%.
80	Alex Telles from Manchester United tries to pick out a team-mate in the area but his cross is blocked by an opponent.
80	Ruben Dias relieves the pressure with a clearance
80	Jadon Sancho puts in a cross...
79	A shot by Bruno Fernandes is blocked.
79	Ruben Dias relieves the pressure with a clearance
79	Aaron Wan-Bissaka puts in a cross...
79	Manchester United is trying to create something here.
78	Manchester United is in control of the ball.
77	Bernardo Silva from Manchester City sees his pass blocked by an opponent.
77	Manchester City with a potentially dangerous attack.
76	Manchester United plays a short goal kick.
76	Kevin De Bruyne from Manchester City fails to connect properly on the volley and sends the ball wide of target
76	Poor play by Alex Telles as his weak attempt to clear the ball puts his side under pressure
76	Ilkay Gundogan from Manchester City passes the ball in the box, but it's intercepted by an opponent player.
76	A shot by Joao Cancelo is blocked.
75	The referee signals a free kick as Jadon Sancho from Manchester United trips Rodri
75	Ball possession: Manchester United: 33%, Manchester City: 67%.
74	Cristiano Ronaldo relieves the pressure with a clearance
74	Phil Foden swings in a cross from the free kick.
74	The game is restarted.
73	Luke Shaw is injured and is replaced by Alex Telles.
73	Luke Shaw is down injured and receives medical attention on the field.
72	Play has been stopped because there is a player lying on the pitch.
72	The referee signals a free kick as Scott McTominay from Manchester United trips Ilkay Gundogan
71	Luke Shaw is penalised for pushing Gabriel Jesus.
70	Luke Shaw from Manchester United is ruled offside.
70	Could be a good chance here as Marcus Rashford from Manchester United cuts the opponents defense open with a through ball...
70	Manchester United take a throw-in at the left side of the pitch in the opponent's half of the field
70	Luke Shaw comes back onto the field.
70	Ball possession: Manchester United: 34%, Manchester City: 66%.
69	The game is restarted.
69	Luke Shaw is injured and is taken off the field to receive medical treatment.
67	Luke Shaw is down injured and receives medical attention on the field.
67	Play has been stopped because there is a player lying on the pitch.
67	Goal kick for Manchester United.
67	Mason Greenwood is leaving the field to be replaced by Marcus Rashford in a tactical substitution.
66	Ilkay Gundogan from Manchester City sends an effort wide of target
66	Ilkay Gundogan from Manchester City had a bad first touch and fails to take advantage of the situation.
66	Rodri from Manchester City puts in a great cross...
66	Bruno Fernandes from Manchester United concedes a foul on Kevin De Bruyne but the referee decides against stopping the play and waves play on!
65	Goal kick for Manchester United.
65	Ball possession: Manchester United: 35%, Manchester City: 65%.
64	Manchester City is in control of the ball.
63	Manchester City is in control of the ball.
62	Fred relieves the pressure with a clearance
62	Phil Foden from Manchester City swings in the corner from the left.
62	Victor Lindelof clears the danger but is forced to give away a corner...
62	Phil Foden puts in a cross...
61	Manchester City is trying to create something here.
60	Bruno Fernandes is penalised for pushing Kyle Walker.
60	Ball possession: Manchester United: 36%, Manchester City: 64%.
59	Manchester City plays a short goal kick.
59	Mason Greenwood fails to find the target with a shot from outside the box
59	Manchester United take a throw-in at the left side of the pitch in the opponent's half of the field
58	Manchester United take a throw-in at the right side of the pitch in the opponent's half of the field
58	Bernardo Silva commits a rough foul on an opponent and goes into the referee's book.
58	The referee signals a free kick as Bernardo Silva from Manchester City trips Cristiano Ronaldo
58	Manchester United is trying to create something here.
57	Manchester City take a throw-in at the left side of the pitch in the opponent's half of the field
57	Kyle Walker relieves the pressure with a clearance
57	Luke Shaw swings in a cross from the free kick.
56	The referee signals a free kick as Bernardo Silva from Manchester City trips Bruno Fernandes
56	Manchester United is trying to create something here.
55	Ball possession: Manchester United: 31%, Manchester City: 69%.
55	Goal kick for Manchester United.
54	Ilkay Gundogan from Manchester City makes a good pass into the box, but his team mates fail to take advantage of the space
54	Phil Foden of Manchester City passes the ball to a team mate.
54	Kevin De Bruyne from Manchester City takes the ball forward trying to make something happen...
53	Manchester City plays a short goal kick.
53	Manchester United take a throw-in at the left side of the pitch in the opponent's half of the field
53	The game is restarted.
53	Play has been stopped because there is a player lying on the pitch.
52	Manchester United take a throw-in at the left side of the pitch in the opponent's half of the field
51	Manchester United take a throw-in at the right side of the pitch in the opponent's half of the field
51	Manchester United is in control of the ball.
50	Manchester United take a throw-in at the left side of the pitch in the opponent's half of the field
50	Ball possession: Manchester United: 32%, Manchester City: 68%.
49	Joao Cancelo from Manchester City is ruled offside.
49	Manchester City is in control of the ball.
49	Manchester City plays a short goal kick.
48	Bruno Fernandes from Manchester United takes a free kick, but it ends up nowhere near the goalframe.
48	After a tactical foul, Joao Cancelo sees no other way than stopping the counter and receives a yellow card.
48	Obstruction as Joao Cancelo cuts off the run of Mason Greenwood. A free-kick is awarded.
48	Manchester United is trying to create something here.
47	Manchester City is trying to create something here.
47	Manchester City is in control of the ball.
46	The referee signals a free kick as Kevin De Bruyne from Manchester City trips Scott McTominay
46	Eric Bailly is leaving the field to be replaced by Jadon Sancho in a tactical substitution.
46	The second half is underway.
47	Manchester City has been the better team in this half
47	It's over! The referee blows for half time
47	Ball possession: Manchester United: 32%, Manchester City: 68%.
47	Manchester City is in control of the ball.
46	The fourth official shows there are 1 minute(s) of time to be added.
45	Joao Cancelo provided the assist for the goal.
45	GOOOOOAAL! - Bernardo Silva scores with the left foot!
45	Luke Shaw could cost his team a goal after a defensive blunder.
45	Joao Cancelo puts in a cross...
45	Ball possession: Manchester United: 33%, Manchester City: 67%.
44	Eric Bailly relieves the pressure with a clearance
44	Rodri puts in a cross...
43	Harry Maguire relieves the pressure with a clearance
43	Phil Foden from Manchester City swings in the corner from the left.
43	Joao Cancelo from Manchester City directs the ball behind the defence, but it's intercepted by an opponent player.
43	Manchester City take a throw-in at the right side of the pitch in their own half of the field
42	Manchester United take a throw-in at the left side of the pitch in the opponent's half of the field
41	Manchester City is in control of the ball.
40	Cristiano Ronaldo from Manchester United is ruled offside.
40	Could be a good chance here as Aaron Wan-Bissaka from Manchester United cuts the opponents defense open with a through ball...
40	Ball possession: Manchester United: 32%, Manchester City: 68%.
39	Rodri from Manchester City goes a bit too far there as the pulls down Fred
39	It's raining, making conditions difficult for the players.
38	Manchester United take a throw-in at the left side of the pitch in the opponent's half of the field
38	Manchester City take a throw-in at the right side of the pitch in their own half of the field
37	Manchester City take a throw-in at the left side of the pitch in the opponent's half of the field
37	Ilkay Gundogan from Manchester City passes the ball in the box, but it's intercepted by an opponent player.
37	Manchester City with a potentially dangerous attack.
37	Manchester City is trying to create something here.
36	Cristiano Ronaldo relieves the pressure with a clearance
36	Phil Foden puts in a cross...
36	Phil Foden from Manchester City takes a short corner kick from the left.
35	Danger averted there as Aaron Wan-Bissaka from Manchester United clears the danger with a good tackle
35	Some neat football here as Phil Foden from Manchester City plays a 1-2 with Bernardo Silva.
35	Ball possession: Manchester United: 34%, Manchester City: 66%.
35	Manchester United take a throw-in at the right side of the pitch in their own half of the field
34	Joao Cancelo releases a shot, it's parried by David De Gea but he can't hold onto it...
34	Harry Maguire relieves the pressure with a clearance
34	Phil Foden from Manchester City swings in the corner from the left.
34	Manchester City are piling the pressure on and look like scoring anytime
34	David De Gea from Manchester United makes a great save.
34	Kevin De Bruyne forces a good save from David De Gea who turns the ball behind for a corner!
34	Gabriel Jesus of Manchester City passes the ball to a team mate.
34	Manchester City with a potentially dangerous attack.
34	The referee signals a free kick as Ruben Dias from Manchester City trips Mason Greenwood
33	David De Gea from Manchester United shows a great reflex and comes out with an excellent save!
33	Poor play by Victor Lindelof as his weak attempt to clear the ball puts his side under pressure
33	Phil Foden from Manchester City directs a ball squarely in the box, but it's intercepted by an opponent player.
33	Joao Cancelo of Manchester City passes the ball to a team mate.
32	Manchester City is trying to create something here.
32	Manchester United take a throw-in at the right side of the pitch in their own half of the field
32	Manchester United take a throw-in at the right side of the pitch in their own half of the field
32	Manchester City take a throw-in at the left side of the pitch in the opponent's half of the field
31	Victor Lindelof relieves the pressure with a clearance
31	Bernardo Silva puts in a cross...
31	The referee signals a free kick as Bruno Fernandes from Manchester United trips Joao Cancelo
30	Manchester United plays a short goal kick.
30	Joao Cancelo from Manchester City fails to connect properly on the volley and sends the ball wide of target
30	Kevin De Bruyne from Manchester City swings in the corner from the right.
30	Ball possession: Manchester United: 31%, Manchester City: 69%.
29	It's a good hit from long range by Joao Cancelo who forces a save from David De Gea. Corner kick.
29	Kevin De Bruyne from Manchester City takes a short corner kick from the right.
29	It's a miraculous save by David De Gea from Manchester United as he prevents a certain goal!
29	Should have been a goal! Gabriel Jesus gets a great chance to score, but his effort is turned behind by David De Gea!
29	A shot by Kevin De Bruyne is blocked.
29	Phil Foden of Manchester City passes the ball to a team mate.
29	Could be a good chance here as Ilkay Gundogan from Manchester City cuts the opponents defense open with a through ball...
28	Manchester City is in control of the ball.
27	Manchester United is in control of the ball.
27	Manchester City plays a short goal kick.
26	Mason Greenwood from Manchester United sends an effort wide of target
26	A volley from Cristiano Ronaldo is blocked by the keeper and goes back into play.
26	Luke Shaw puts in a cross...
25	The referee signals a free kick as Bernardo Silva from Manchester City trips Harry Maguire
25	Aaron Wan-Bissaka from Manchester United tries to pick out a team-mate in the area but his cross is blocked by an opponent.
25	Ball possession: Manchester United: 27%, Manchester City: 73%.
24	Manchester United take a throw-in at the left side of the pitch in the opponent's half of the field
24	Manchester City is in control of the ball.
23	Victor Lindelof relieves the pressure with a clearance
23	Joao Cancelo puts in a cross...
23	Victor Lindelof relieves the pressure with a clearance
23	Phil Foden from Manchester City swings in the corner from the left.
22	Kevin De Bruyne from Manchester City sees his pass blocked by an opponent.
22	Poor play by Fred as his weak attempt to clear the ball puts his side under pressure
22	Joao Cancelo from Manchester City passes the ball in the box, but it's intercepted by an opponent player.
22	Joao Cancelo from Manchester City takes the ball forward trying to make something happen...
22	Aaron Wan-Bissaka could cost his team a goal after a defensive blunder.
22	Kevin De Bruyne from Manchester City directs the ball behind the defence, but it's intercepted by an opponent player.
21	Cristiano Ronaldo from Manchester United is ruled offside.
21	Manchester United start a counter attack.
20	Manchester City is trying to create something here.
20	The referee signals a free kick as Gabriel Jesus from Manchester City trips Bruno Fernandes
20	Ball possession: Manchester United: 25%, Manchester City: 75%.
19	The referee signals a free kick as Kevin De Bruyne from Manchester City trips Bruno Fernandes
19	Goal kick for Manchester United.
18	That's a great ball by Kevin De Bruyne from Manchester City. He directs the ball behind the defence, but the chance eventually goes begging
18	Eric Bailly relieves the pressure with a clearance
18	Kevin De Bruyne puts in a cross...
18	The referee signals a free kick as Phil Foden from Manchester City trips Bruno Fernandes
17	Scott McTominay relieves the pressure with a clearance
17	Phil Foden from Manchester City sends a deflected cross into the box.
17	Manchester City is in control of the ball.
16	Cristiano Ronaldo relieves the pressure with a clearance
16	Kevin De Bruyne swings in a cross from the free kick.
15	Dangerous challenge by Aaron Wan-Bissaka from Manchester United. Phil Foden on the receiving end of that.
15	Manchester City take a throw-in at the left side of the pitch in the opponent's half of the field
15	Ball possession: Manchester United: 29%, Manchester City: 71%.
15	Manchester United plays a short goal kick.
14	Kevin De Bruyne from Manchester City crosses the ball, but his team mate arrives a little late and can't benefit from it.
14	Manchester City is trying to create something here.
13	Manchester City take a throw-in at the right side of the pitch in the opponent's half of the field
12	Manchester City is trying to create something here.
12	Manchester City is in control of the ball.
11	The referee signals a free kick as Ilkay Gundogan from Manchester City trips Bruno Fernandes
11	Harry Maguire relieves the pressure with a clearance
11	Joao Cancelo puts in a cross...
10	The game is restarted.
10	Play has been stopped because there is a player lying on the pitch.
10	Ball possession: Manchester United: 24%, Manchester City: 76%.
9	Manchester United take a throw-in at the left side of the pitch in their own half of the field
9	Manchester City is in control of the ball.
8	Manchester United is in control of the ball.
7	OGOWN GOAL - Eric Bailly sends the ball into his own net!
7	Joao Cancelo puts in a cross...
7	Ilkay Gundogan from Manchester City fails to connect properly on the volley and sends the ball wide of target
7	Kyle Walker from Manchester City puts in a great cross...
7	A shot by Kevin De Bruyne is blocked.
7	Manchester City is trying to create something here.
6	Manchester City plays a short goal kick.
6	A chance presents itself to Harry Maguire from Manchester United but his header goes wide
6	Luke Shaw swings in a cross from the free kick.
5	The referee signals a free kick as Gabriel Jesus from Manchester City trips Cristiano Ronaldo
5	Manchester United is trying to create something here.
5	Ball possession: Manchester United: 13%, Manchester City: 87%.
4	Manchester City is trying to create something here.
3	Manchester United plays a short goal kick.
3	Bernardo Silva goes for goal, but his effort was never close to hitting the target.
3	Kevin De Bruyne of Manchester City passes the ball to a team mate.
2	Manchester City is in control of the ball.
1	Manchester City is in control of the ball.
1	The pitch is in fantastic condition today and the players are enjoying the surface.
1	Cloudy conditions overhead at the moment.
1	Manchester City kick-off, and the game is underway.The referee starts the match.Before we get underway, the players and crowd observe a minute's silence.Welcome to Old Trafford, the match will start in about 5 minutes.Less commentary
97	Adam Armstrong from Southampton is a contender for Man of the Match after a great performance today
97	Both teams could have won today but Southampton just managed to carve out the victory
97	That's it! The referee blows the final whistle
97	Today's attendance is 30178.
97	Ball possession: Southampton: 56%, Aston Villa: 44%.
97	Southampton is trying to create something here.
97	Aston Villa take a throw-in at the left side of the pitch in their own half of the field
96	Southampton take a throw-in at the right side of the pitch in the opponent's half of the field
96	The referee signals a free kick as Cameron Archer from Aston Villa trips Jan Bednarek
95	James Ward-Prowse from Southampton goes a bit too far there as the pulls down Matt Targett
95	Valentino Livramento from Southampton sees his pass blocked by an opponent.
95	Southampton is trying to create something here.
95	Ball possession: Southampton: 57%, Aston Villa: 43%.
94	Ollie Watkins is penalised for pushing James Ward-Prowse.
94	Aston Villa is trying to create something here.
94	Armando Broja from Southampton goes a bit too far there as the pulls down John McGinn
93	Southampton is trying to create something here.
93	Southampton take a throw-in at the left side of the pitch in their own half of the field
92	Southampton take a throw-in at the left side of the pitch in the opponent's half of the field
92	Southampton start a counter attack.
92	A shot by John McGinn is blocked.
91	Jan Bednarek relieves the pressure with a clearance
91	Ollie Watkins puts in a cross...
91	Aston Villa is trying to create something here.
91	After a tactical foul, Mohammed Salisu sees no other way than stopping the counter and receives a yellow card.
91	The referee signals a free kick as Mohammed Salisu from Southampton trips Keinan Davis
91	Kyle Walker-Peters from Southampton passes the ball in the box, but it's intercepted by an opponent player.
90	Southampton is trying to create something here.
90	The fourth official shows there are 7 minute(s) of time to be added.
90	Cameron Archer from Aston Villa goes a bit too far there as the pulls down Jan Bednarek
90	Ball possession: Southampton: 58%, Aston Villa: 42%.
89	Ollie Watkins from Aston Villa is ruled offside.
89	Aston Villa is trying to create something here.
89	Aston Villa take a throw-in at the left side of the pitch in the opponent's half of the field
89	Aston Villa take a throw-in at the left side of the pitch in the opponent's half of the field
89	Oh no. From a promising position Matty Cash from Aston Villa miskicks completely. Opportunity wasted.
88	Jan Bednarek comes back onto the field.
88	The match resumes with a drop ball.
88	Jan Bednarek is injured and is taken off the field to receive medical treatment.
86	Jan Bednarek is down injured and receives medical attention on the field.
86	Play has been stopped because there is a player lying on the pitch.
86	Alex McCarthy relieves the pressure with a clearance
86	Leon Bailey from Aston Villa swings in the corner from the right.
86	Jan Bednarek clears the danger but is forced to give away a corner...
86	Matt Targett puts in a cross...
85	Aston Villa is in control of the ball.
85	Aston Villa take a throw-in at the left side of the pitch in their own half of the field
85	Ball possession: Southampton: 59%, Aston Villa: 41%.
85	Goal kick for Southampton.
84	Ollie Watkins from Aston Villa sends an effort wide of target
84	A chance opens up as Jacob Ramsey from Aston Villa successfully finds a team mate in the area...
84	Aston Villa is trying to create something here.
84	Aston Villa take a throw-in at the right side of the pitch in their own half of the field
83	Southampton take a throw-in at the left side of the pitch in the opponent's half of the field
83	Southampton is in control of the ball.
82	Aston Villa take a throw-in at the left side of the pitch in their own half of the field
82	Aston Villa is in control of the ball.
82	Armando Broja from Southampton directs the ball behind the defence, but it's intercepted by an opponent player.
82	Southampton with a potentially dangerous attack.
